seizure_id,subject,vigilance,chs,last10__in_0p5_40,last10__hi_40_48,last10__line_48_52,last10__hi_52_70,last10__hi_70_90,last10__line_98_102,last10__hi_90_125,far__in_0p5_40,far__hi_40_48,far__line_48_52,far__hi_52_70,far__hi_70_90,far__line_98_102,far__hi_90_125
sub-101_ses-01_task-szMonitoring_run-08_seizure-0000,101,awake,2,2.7276541998260723e-10,6.500081885197587e-11,3.309042918926274e-08,9.928054320448322e-11,1.9324266125380067e-11,1.3462153952709296e-09,1.371050297421373e-09,3.7667204420426374e-10,2.1011851914580302e-11,1.1844389061182385e-11,2.88220302704758e-11,1.6237370250352572e-11,1.3616319661462728e-12,8.321526163790867e-12
sub-082_ses-01_task-szMonitoring_run-11_seizure-0001,82,asleep,2,1.4588386418433914e-10,1.2648609140382345e-12,5.252671377320502e-13,1.577809647610171e-12,7.533848391941379e-13,5.856056129180467e-14,4.048018364240254e-13,2.0937176766648094e-10,2.072890535734304e-12,8.621387230799858e-13,2.8790021006268827e-12,1.471894411701995e-12,1.1220153604912755e-13,7.883193475827089e-13
sub-008_ses-01_task-szMonitoring_run-01_seizure-0000,8,awake,2,8.389393663530161e-11,7.249143001447712e-12,9.155422362433377e-12,1.1795916503198438e-11,7.005707560934166e-12,6.537709081384892e-13,4.207388699429946e-12,3.5391163890426376e-10,3.060943555647711e-11,1.4956828047650967e-11,4.354167153386556e-11,2.3217770318919437e-11,1.7832179843032476e-12,1.1340665473819717e-11
sub-119_ses-01_task-szMonitoring_run-30_seizure-0000,119,awake,2,9.833745917701527e-10,4.2669065284870524e-11,1.7867824142987125e-11,5.118040659356172e-11,1.7915678739581702e-11,8.629778982099133e-13,6.2420136759404325e-12,6.450320232945678e-10,1.118226653219669e-11,3.695324093687231e-12,1.165118674274195e-11,5.214615367904388e-12,3.2814419762193334e-13,2.1959215913939478e-12
sub-014_ses-01_task-szMonitoring_run-01_seizure-0001,14,awake,2,6.427134060993128e-10,2.7752910448833755e-11,1.1370012717307264e-11,3.6392587930293914e-11,1.7463785901102808e-11,1.2500714414005352e-12,8.455391638393358e-12,6.269770954636994e-10,1.7542295433566826e-11,6.986269015566322e-12,2.328378867781248e-11,1.1463350479840488e-11,7.744379352535987e-13,5.156413163167307e-12
sub-015_ses-01_task-szMonitoring_run-08_seizure-0001,15,awake,2,3.43194080607538e-10,1.5914637215408247e-11,6.6516811364476655e-12,2.3068616034954184e-11,1.087358750538015e-11,8.264648822172669e-13,5.749854877779292e-12,2.3167146571559917e-10,8.31474325862249e-12,3.4195493720535176e-12,1.3085775780612897e-11,8.121684861470811e-12,7.160500390721548e-13,5.014156561787176e-12
sub-059_ses-01_task-szMonitoring_run-01_seizure-0000,59,asleep,2,3.2278378592742395e-10,1.2008215383109905e-11,5.637569148655464e-12,1.9413675817696847e-11,1.020707253555252e-11,6.502093069243715e-13,3.643948909562484e-12,2.087124247080537e-10,1.8348247788459997e-12,7.331025278952531e-13,2.4230285846525305e-12,1.039505042920834e-12,7.050306211447207e-14,4.333447497303583e-13
sub-038_ses-01_task-szMonitoring_run-07_seizure-0002,38,asleep,2,8.34536144910103e-10,7.303597640701085e-12,8.369282826892358e-12,8.672105264290955e-12,4.478626801489821e-12,3.4502767999486214e-13,2.36880811857228e-12,3.020348463959636e-10,5.760306647867111e-12,5.021934011593407e-12,7.798196210148182e-12,3.985817779762937e-12,3.181141714481208e-13,2.069675748452196e-12
sub-108_ses-01_task-szMonitoring_run-01_seizure-0002,108,awake,2,8.558284113956195e-10,5.28192633284639e-11,3.520046892030907e-11,6.953645981814705e-11,3.667832573866062e-11,2.6259058598961466e-12,1.761464191970631e-11,1.2550798479318772e-09,2.0745968836192698e-10,8.383176636248062e-11,2.402113065514386e-10,1.2383586844230343e-10,8.203992773020352e-12,5.97348656189724e-11
sub-107_ses-01_task-szMonitoring_run-06_seizure-0001,107,asleep,2,1.9347590477873933e-09,6.94807757987775e-11,2.5728578953675338e-11,7.084028793566724e-11,2.8885384889185167e-11,1.7192068504196652e-12,1.1420874512185661e-11,2.698038622493152e-10,1.683754836257759e-11,2.773963421545923e-11,2.579005581104254e-11,1.4115199344094567e-11,1.0444618161433594e-12,6.959798739960788e-12
sub-072_ses-01_task-szMonitoring_run-16_seizure-0001,72,awake,2,1.2675304812576847e-10,3.5629186239996898e-12,1.4547076099694388e-12,4.710098537381507e-12,2.263932879397519e-12,1.4724834039330005e-13,9.826130748477773e-13,2.1720904507494494e-10,1.4856439580197202e-12,6.780066367201195e-13,2.2649338675698642e-12,1.4174945098737662e-12,1.104165541151978e-13,8.957525515749234e-13
sub-077_ses-01_task-szMonitoring_run-02_seizure-0000,77,awake,2,4.4451185688753816e-10,2.3377359746506093e-12,1.1359725536342353e-12,3.724672044810363e-12,1.6072921294054082e-12,1.1381657236113146e-13,7.499819636737676e-13,2.1839480060760803e-09,7.372474659316598e-12,3.627080320191141e-12,1.3707549328374333e-11,7.600534824990553e-12,5.511352808042419e-13,3.7997397110562115e-12
sub-056_ses-01_task-szMonitoring_run-04_seizure-0001,56,asleep,2,9.288357110573188e-10,3.695585651812747e-12,1.553473637976353e-12,4.6995035257246885e-12,2.419681123841935e-12,1.9862820332099695e-13,1.1509468471231335e-12,1.3704595967742758e-08,2.0362076455834676e-11,7.389064974793524e-12,2.7069022558107956e-11,2.1533898510598003e-11,2.166966667585945e-12,1.2346420525310707e-11
sub-061_ses-01_task-szMonitoring_run-03_seizure-0000,61,awake,2,6.542492274767666e-08,1.4737443889623355e-09,1.0202634044678212e-07,2.0682121837079827e-09,1.012262278865053e-09,1.3725927439255079e-08,1.7000726922953787e-08,8.617456107880109e-08,3.654397253107699e-10,4.0724577416988094e-10,5.532027727631884e-10,2.7795617056273675e-10,2.5453656426689103e-11,2.0755845114534377e-10
sub-112_ses-01_task-szMonitoring_run-03_seizure-0000,112,awake,2,1.4958650010345872e-09,4.6164771049019964e-11,1.5567289575218073e-11,4.254718143059312e-11,1.4349035645689206e-11,6.501849628717618e-13,4.344772049383454e-12,1.071267368790761e-09,4.146696537836876e-11,1.6960711255976116e-11,3.9350900210693824e-11,1.3108551288389256e-11,6.16726327488184e-13,3.9251494604317655e-12
sub-070_ses-01_task-szMonitoring_run-12_seizure-0000,70,awake,2,9.481985131856951e-11,5.540810197721325e-12,2.1349879162097992e-12,7.033982838229515e-12,3.860757671450274e-12,3.1195404314620784e-13,2.1599450144950537e-12,2.1665909503097508e-10,5.085470112604508e-12,2.072443600386559e-12,6.84272851679801e-12,3.6117542847779512e-12,2.716606789084607e-13,1.9208684467432797e-12
sub-044_ses-01_task-szMonitoring_run-01_seizure-0000,44,awake,2,1.0876144442213027e-09,1.6117241779305032e-11,7.062745901856511e-12,2.1324564022947052e-11,7.87228319391879e-12,4.365950104603035e-13,3.0877728966129954e-12,3.5094139862592904e-10,1.7469256270894654e-11,1.1623943727669141e-11,2.4763533879021586e-11,1.3784594583357327e-11,1.0106740834493027e-12,6.738681550074041e-12
sub-068_ses-01_task-szMonitoring_run-06_seizure-0000,68,un,2,9.799188483499235e-10,1.4353382448861522e-11,6.555543853465095e-12,2.4310820255302985e-11,1.3933155938228818e-11,1.1089045097425393e-12,7.725894131516131e-12,7.876215904843116e-10,8.433485628469385e-12,4.487979516752912e-12,1.3318932243419944e-11,5.588362003417456e-12,3.970986499081636e-13,2.621815281748864e-12
sub-035_ses-01_task-szMonitoring_run-06_seizure-0000,35,asleep,2,1.0017431201671942e-08,2.606398874569592e-11,1.5927952259657444e-09,5.509629246709902e-11,3.362043641732424e-11,1.9841885554548117e-12,1.2407609303355636e-11,1.9002400313287304e-09,6.328280616613773e-12,1.4384966186909774e-09,5.976580547301322e-12,8.359293197603069e-13,9.131050223145684e-14,3.721587057542416e-13
sub-077_ses-01_task-szMonitoring_run-06_seizure-0000,77,awake,2,1.609675638931986e-09,1.847673120180971e-11,8.482478795946546e-12,3.4917158363257195e-11,1.9741864413773428e-11,1.1485617022910093e-12,8.074861752922686e-12,2.5152052986885047e-10,2.6805328403315056e-11,1.3144082887779906e-11,5.6622309768184355e-11,3.572908791156071e-11,2.3301521598740006e-12,1.6660622435266895e-11
sub-007_ses-01_task-szMonitoring_run-03_seizure-0002,7,asleep,2,2.4135560448863394e-10,4.263373552758472e-12,5.912646402082866e-12,5.38194758865384e-12,2.7200196028429597e-12,2.08009637002487e-13,1.5361180181739016e-12,2.350114313537175e-10,3.105967197520789e-12,7.0330344340694935e-12,3.7494966463312975e-12,1.9147299469733565e-12,1.6517891345327038e-13,1.0462857858589463e-12
sub-042_ses-01_task-szMonitoring_run-04_seizure-0008,42,asleep,2,1.0331433912499804e-09,5.143308813716874e-12,2.173804731387334e-12,6.972808879079716e-12,4.136815843777524e-12,4.032176031558661e-13,2.8241508905370537e-12,7.738182000083977e-10,3.656841460123949e-12,1.5063990925485834e-12,4.833347492793972e-12,2.8530489568093056e-12,2.7406808615225603e-13,2.046850459628007e-12
sub-047_ses-01_task-szMonitoring_run-01_seizure-0000,47,awake,2,6.389166222923831e-10,1.3174468948064915e-11,8.188287986268766e-12,1.8238424803676626e-11,9.425709036750124e-12,6.564087906288602e-13,4.341438985086582e-12,7.222998287022289e-10,1.8269130823667157e-11,1.1500221690636913e-11,2.104734239845838e-11,8.700220346950065e-12,3.767186789007409e-13,2.6355546311348507e-12
sub-051_ses-01_task-szMonitoring_run-01_seizure-0001,51,awake,2,2.1830213209436082e-09,8.21181270275036e-11,3.323401909449693e-11,9.217888082649496e-11,4.143970096647958e-11,2.6225548885555022e-12,1.6567797282754253e-11,2.136616388165995e-09,8.359764944409604e-11,3.281425846887695e-11,9.253213813364452e-11,4.150486935506909e-11,2.7080650757901455e-12,1.7305552776660557e-11
sub-048_ses-01_task-szMonitoring_run-06_seizure-0000,48,asleep,2,8.923185137779192e-10,3.2703688643859295e-12,1.4099440912576504e-12,4.232894470662379e-12,2.215475211024175e-12,1.6411606071989352e-13,1.120333574249665e-12,1.8779296507993047e-10,3.5017116101886713e-12,1.5311506802701014e-12,4.873414616135476e-12,2.4680472336612315e-12,1.88017641269152e-13,1.3001494702117947e-12
sub-064_ses-01_task-szMonitoring_run-02_seizure-0001,64,awake,2,9.821469159353412e-09,3.3482645428520314e-11,1.1765188919356359e-11,2.3265499384155728e-11,1.3650368081442612e-11,2.678566281656486e-12,1.4520743575107203e-11,2.1748553103919195e-10,8.70411635862254e-12,4.462072408648461e-12,1.1096884718104404e-11,5.038652885860883e-12,3.0840551943705446e-13,1.9239529592493722e-12
sub-030_ses-01_task-szMonitoring_run-05_seizure-0004,30,awake,2,3.646359848407133e-10,5.147205204414426e-12,1.9972193019545872e-12,6.231888028970936e-12,3.1175519440480155e-12,2.2445934853090831e-13,1.526303435339889e-12,3.759203541447411e-10,2.9898153447845883e-12,1.3484583012257691e-12,3.6040370968890593e-12,1.6926566404206742e-12,1.1432023612508822e-13,7.924190286189506e-13
sub-042_ses-01_task-szMonitoring_run-08_seizure-0003,42,asleep,2,6.097174381576635e-10,6.482883478506218e-12,3.4660959734410987e-10,9.452456162539748e-12,4.414161197377096e-12,7.57078338623519e-13,3.1342423993255965e-12,1.1088104408662493e-08,1.962323073459423e-10,5.321534917306477e-10,3.238369955560866e-10,1.2478225765915483e-10,1.6111390911774937e-11,1.1658744924948644e-10
sub-052_ses-01_task-szMonitoring_run-01_seizure-0000,52,awake,2,1.5242115472203298e-09,8.01177224330168e-11,8.65652501500614e-11,7.358718162221165e-11,2.360497019596406e-11,1.5056578008033764e-12,9.132082406048165e-12,1.2476844574856412e-09,7.336442293562341e-11,7.399159589041373e-11,6.662121119506043e-11,2.1204516963827578e-11,1.4077139634921209e-12,9.182482149422591e-12
sub-028_ses-01_task-szMonitoring_run-01_seizure-0000,28,awake,2,7.941328472479881e-10,9.810999968772025e-11,4.7475688109422714e-11,1.3717004959657297e-10,7.364556003575444e-11,4.93266969239815e-12,3.411601394393183e-11,1.0288556918792372e-09,4.1701169966167724e-11,1.7424169341505295e-11,5.945216804564226e-11,3.5693780603347264e-11,2.829357864240412e-12,1.8716904752898696e-11
sub-011_ses-01_task-szMonitoring_run-03_seizure-0000,11,awake,2,5.651225083923325e-10,5.217564047966478e-11,2.2399225154840527e-11,7.862813486406859e-11,3.842356992489905e-11,2.8303003831734964e-12,1.8084581431236148e-11,3.5105609185809124e-10,3.636420338366539e-11,1.4633892024735195e-11,5.34558059526623e-11,2.933114772569546e-11,1.8785524273256337e-12,1.38461416251159e-11
sub-113_ses-01_task-szMonitoring_run-04_seizure-0001,113,awake,2,5.2992136090485836e-08,6.015492968365918e-10,3.655351548404901e-10,6.696469062990984e-10,3.570508698402842e-10,2.619934188145746e-11,2.1590021412956816e-10,1.0690691734314724e-07,1.1823158922420145e-09,8.827737084362981e-10,1.4451839094925987e-09,7.180464819568393e-10,6.757471698710646e-11,3.9294305730169106e-10
sub-011_ses-01_task-szMonitoring_run-03_seizure-0001,11,awake,2,3.2493852991603634e-10,1.807366233773435e-11,1.1663498040576703e-10,2.3408263280314732e-11,1.0619696997852892e-11,7.194815739947786e-13,4.798789523206284e-12,1.0373329777887765e-09,5.180308496916752e-11,7.502289019984274e-11,6.784944730271626e-11,3.048826985643874e-11,2.136560893783675e-12,1.5117049581209195e-11
sub-019_ses-01_task-szMonitoring_run-07_seizure-0000,19,awake,2,2.638835113398189e-10,8.074911297619104e-12,4.945444977980745e-12,9.683436837649267e-12,4.813540391135087e-12,3.3911013490601323e-13,2.31875394876907e-12,7.944614722214624e-10,4.885774981348333e-11,2.3841768050926814e-11,8.967476169313757e-11,5.351925719241015e-11,4.3988885830879285e-12,3.176537582259746e-11
sub-001_ses-01_task-szMonitoring_run-07_seizure-0000,1,awake,2,2.53651853519453e-09,1.3262138221082221e-11,6.569325582367892e-12,2.5523952629511888e-11,1.1730739836246691e-11,1.0735116459856425e-12,9.324297698964222e-12,4.675633008668822e-10,1.2570645473376523e-11,4.972088641915102e-12,1.5147847100983562e-11,6.3130116861671884e-12,4.084660606016703e-13,2.8421298096501047e-12
sub-117_ses-01_task-szMonitoring_run-10_seizure-0000,117,asleep,2,4.772896543793652e-11,2.212467629275512e-12,9.437463827384473e-13,3.0342491657888296e-12,1.7147558769494097e-12,1.4108091372811967e-13,9.461956093037184e-13,1.3178645056397665e-08,1.5027994600173088e-10,3.4073029846154173e-11,7.468702691412829e-11,2.3128255774053926e-11,5.340375163006802e-12,2.669360043257234e-11
sub-103_ses-01_task-szMonitoring_run-02_seizure-0000,103,asleep,2,1.6743980285510886e-10,7.070558516683127e-12,5.420884562613492e-12,1.029851117824925e-11,5.921674487343059e-12,3.838684843579305e-13,2.7866547041781025e-12,4.5322741206434997e-10,7.147083902634485e-11,3.253553724480063e-11,1.0816895115517135e-10,6.09472396032975e-11,4.713205560468363e-12,3.143913337757492e-11
sub-034_ses-01_task-szMonitoring_run-03_seizure-0000,34,awake,2,6.471418189101041e-11,4.664758062703368e-12,2.5921029563260737e-12,7.563395315453346e-12,4.395278259602023e-12,2.89395297525564e-13,1.8900564630410837e-12,3.5498327120347907e-10,3.7040499211381746e-11,1.520173190990648e-11,4.937225762041238e-11,2.164079414561934e-11,1.1729933336129803e-12,7.80930581101379e-12
sub-060_ses-01_task-szMonitoring_run-04_seizure-0000,60,awake,2,9.338447097308884e-10,1.8012035631375988e-11,1.4878148632684163e-11,1.7209245152137383e-11,6.970576461763445e-12,4.5400282411485687e-13,2.8510888824977067e-12,2.3005934850036122e-09,1.2890803619003924e-10,4.644279177551473e-11,1.1025739302441772e-10,4.045615794993381e-11,2.5210522801491587e-12,1.58080750947961e-11
sub-026_ses-01_task-szMonitoring_run-04_seizure-0000,26,awake,2,2.7868190399987466e-10,2.0057342031201463e-11,1.3719385001008786e-11,5.226134120719175e-11,3.589355710052849e-11,3.170189509240768e-12,2.1815082260075204e-11,3.133025134895495e-10,1.8651743521486055e-11,1.042720934271586e-11,2.9938190782216365e-11,1.7573580248144008e-11,1.2366485652661576e-12,9.445462877235965e-12
sub-063_ses-01_task-szMonitoring_run-04_seizure-0000,63,asleep,2,2.9485171934839244e-09,3.1057950274503993e-12,1.1159505566588334e-12,4.3676583162226426e-12,2.210892120971455e-12,2.0247675009063326e-13,1.165776024264256e-12,2.7094430591321656e-09,1.5529926472472384e-12,7.395800540281806e-13,2.165032799373721e-12,1.1660161585011637e-12,8.110079588331089e-14,4.768827108034667e-13
sub-115_ses-01_task-szMonitoring_run-12_seizure-0000,115,awake,2,5.464169527914784e-10,3.060342588020617e-12,1.2292496627429726e-12,3.995758715621159e-12,1.942787996014161e-12,1.292753763159636e-13,8.897460300898031e-13,2.7847568313790466e-11,9.368378165580946e-13,4.355649071027336e-13,1.5868837536941322e-12,8.21021381302982e-13,5.792232380878937e-14,4.572214131679285e-13
sub-107_ses-01_task-szMonitoring_run-01_seizure-0000,107,awake,2,2.3538710876618236e-10,7.588250109905854e-12,4.966686483149816e-12,1.1601390318722398e-11,6.206813812911698e-12,5.036919317508758e-13,3.3684421454769184e-12,2.42322756896878e-10,4.112428734096458e-12,3.5322346462666132e-12,5.49782768766875e-12,3.021303388655982e-12,2.416450842882604e-13,1.65278640573199e-12
sub-075_ses-01_task-szMonitoring_run-01_seizure-0000,75,awake,2,4.947025915497332e-10,1.0374531810331078e-12,4.424400777205328e-13,1.9073177835953577e-12,1.1943479146937917e-12,9.972090582144868e-14,6.989815050879812e-13,7.280217012312925e-10,3.3850533523526264e-12,1.3888021330538221e-12,4.529396687324323e-12,2.139482174523184e-12,1.2924759058642523e-13,9.002774489974669e-13
sub-060_ses-01_task-szMonitoring_run-03_seizure-0000,60,asleep,2,9.001577782392263e-10,5.289222198151753e-11,1.619295126370122e-11,3.8277151305264865e-11,1.000760844791372e-11,3.626505763720355e-13,2.268420820394888e-12,4.3141440236008775e-09,1.576929321720915e-10,5.84609751064273e-11,1.3814129346484466e-10,4.320237799213782e-11,2.6013619292398564e-12,1.5366523568944154e-11
sub-016_ses-01_task-szMonitoring_run-02_seizure-0000,16,awake,2,4.077251587760207e-09,2.9695144966027035e-10,1.895667590216385e-10,6.607637391127876e-10,4.381424185647728e-10,9.09203145049472e-11,5.960025802700504e-10,8.963998477525185e-10,3.774842537815277e-11,3.0687524973462946e-11,5.3918774770027443e-11,2.8340653086631147e-11,2.4353922667029147e-12,1.551700155249219e-11
sub-073_ses-01_task-szMonitoring_run-31_seizure-0001,73,asleep,2,7.375858207787338e-11,4.643328424261768e-12,2.116853272137175e-12,7.1270334671848846e-12,3.739144210465689e-12,2.3609767678588566e-13,1.6009981765289193e-12,3.268519287040609e-08,6.283113417699031e-10,2.131851618827585e-09,7.822875976458017e-10,2.2588132802316746e-10,1.9755851637449817e-10,3.504064257532157e-10
sub-030_ses-01_task-szMonitoring_run-03_seizure-0001,30,asleep,2,5.691740576581486e-10,2.6724923336030356e-12,2.77043016410817e-12,3.320069750640958e-12,1.975961939775314e-12,1.6367402293895013e-13,1.1931267554837352e-12,4.762987137149326e-10,1.0648636700615482e-12,7.602578088165084e-13,1.5563147297483299e-12,1.0772921637228647e-12,1.311622273691336e-13,9.18799176749788e-13
sub-082_ses-01_task-szMonitoring_run-11_seizure-0002,82,asleep,2,5.13012031732259e-08,3.15074799231128e-10,1.4417098776067205e-10,3.678180419857443e-10,1.8932741636630987e-10,2.1244225806155312e-11,1.1508787637222809e-10,2.0534546503030256e-09,6.014202027849635e-11,3.395150962788479e-11,7.75787514231608e-11,4.5621239042139015e-11,4.522645774677139e-12,2.635650527457088e-11
sub-097_ses-01_task-szMonitoring_run-07_seizure-0000,97,asleep,2,1.567709505548221e-08,2.0948160417886736e-09,2.3303799672815194e-08,3.4459802218049133e-09,2.965061293423319e-09,1.4912237905527505e-08,1.7220018518535608e-08,2.0352180251807404e-08,2.7601556491007153e-09,5.2644452025765945e-08,5.005397811108369e-09,4.5915610575142945e-09,2.1386127462130576e-08,2.4664757562665072e-08
sub-108_ses-01_task-szMonitoring_run-01_seizure-0000,108,awake,2,5.648439409555399e-10,2.535760094205872e-11,2.6739770665742473e-11,3.4610587406906616e-11,1.838371746593805e-11,1.4181173730509845e-12,8.590116068106784e-12,7.904291829899074e-10,4.966162377020695e-11,3.787340115267156e-11,6.510077261752842e-11,3.4119710127813216e-11,2.3049193554271743e-12,1.525226835629479e-11
sub-043_ses-01_task-szMonitoring_run-07_seizure-0000,43,awake,2,1.4084731751113583e-08,1.5491321396296968e-11,1.4485122882032812e-11,1.926648204318791e-11,8.815774988556939e-12,4.740326442720418e-13,2.918427241907846e-12,3.168843959350306e-08,1.3875784238490136e-11,8.458954851944461e-12,1.7938412965586714e-11,8.516367388892047e-12,4.493776031918533e-13,3.125254705891549e-12
