last_in_0.5_40,last_hi_40_48,last_hi_52_70,last_hi_70_90,last_hi_90_125,base_in_0.5_40,base_hi_40_48,base_hi_52_70,base_hi_70_90,base_hi_90_125,seizure_id,subject,vig,fs,frac_above40
-23.16853258431283,-26.270732861671355,-26.054414131708473,-26.505546041065813,-26.961563628389015,-20.427717824934202,-24.72756800529652,-24.483229859246443,-25.26003147648535,-26.118516716380377,sub-074_ses-01_task-szMonitoring_run-05_seizure-0000,74,awake,256.0,0.1370576255177899
-21.680678538678276,-26.75716682898267,-26.676141710882018,-27.072429439240757,-27.222992460417935,-19.80577776685061,-26.73821753009411,-26.66366428462078,-27.035165302325165,-27.227139370207244,sub-035_ses-01_task-szMonitoring_run-07_seizure-0000,35,asleep,256.0,0.02103005584099661
-20.575822415921806,-24.8514235187928,-24.531992594360595,-25.265852334340508,-26.026207986766067,-21.09654385362927,-25.455231037801195,-25.240464998639382,-25.95463280721035,-26.503663189671645,sub-082_ses-01_task-szMonitoring_run-11_seizure-0000,82,asleep,256.0,0.04445301198781295
-22.071193668263916,-24.04840893049128,-23.704346372402313,-24.22401575030713,-24.84251304648977,-23.11226877347766,-26.42188136115803,-26.250633055921863,-26.561133639648332,-26.813179869012316,sub-117_ses-01_task-szMonitoring_run-07_seizure-0000,117,asleep,256.0,0.3388440139692067
-23.20989114967783,-26.540057674293188,-26.36463709540532,-26.75589163098515,-27.02594746647166,-22.88487175574779,-26.584853786825416,-26.372363044295277,-26.755641357352943,-26.99511899479317,sub-071_ses-01_task-szMonitoring_run-17_seizure-0000,71,awake,256.0,0.11448832068707408
-19.70831201462647,-21.67200499902849,-21.387458259248568,-22.154003843742665,-23.144560844127106,-20.138108206863265,-22.64956365553752,-22.285610547248915,-22.97656774953124,-23.73575475066434,sub-028_ses-01_task-szMonitoring_run-01_seizure-0000,28,awake,256.0,0.30830490013350825
-20.09864922548352,-23.626628407389397,-23.276297436487702,-23.998676696795407,-24.82136474254032,-19.857983105783482,-22.766885977381875,-22.520759285212,-23.229544357664583,-24.131522519679002,sub-108_ses-01_task-szMonitoring_run-01_seizure-0000,108,awake,256.0,0.09105792934682923
-19.33238338410291,-24.354630812485695,-24.423651280632434,-25.299019564015033,-26.29507131551793,-19.04927204194763,-22.48244697793387,-22.52263996885015,-23.503019762555596,-24.686569409347822,sub-112_ses-01_task-szMonitoring_run-04_seizure-0000,112,awake,256.0,0.01598949572879035
-20.78389812812587,-24.711543704770946,-24.401612552623845,-24.848354945328275,-25.402082916134958,-21.01752338029813,-24.9482240898028,-24.722586571059363,-25.313712487191346,-25.935706016160893,sub-002_ses-01_task-szMonitoring_run-10_seizure-0000,2,awake,256.0,0.06853439677044966
-21.210937524959085,-24.69749370374051,-24.49545969157341,-25.155134418533763,-25.897758217241446,-21.60557913301311,-24.58645194525589,-24.34664784607792,-24.970987726417277,-25.790056427353036,sub-055_ses-01_task-szMonitoring_run-03_seizure-0000,55,asleep,256.0,0.08812977359670099
-21.131965343244726,-25.587376486942386,-25.409381543879164,-25.87564099926795,-26.235452873608537,-20.674301860184645,-23.699068276096988,-23.476410239053664,-24.058708042160557,-24.612309549936732,sub-125_ses-01_task-szMonitoring_run-21_seizure-0000,125,awake,256.0,0.03871676297652077
-20.944350034859877,-24.64072229510338,-24.272876882299272,-24.74850109853625,-25.442428620988757,-20.284744246392258,-22.96457255878674,-22.799065200198534,-23.515897856906776,-24.35781436788802,sub-099_ses-01_task-szMonitoring_run-02_seizure-0000,99,awake,256.0,0.08597979353956087
-20.82447234567877,-23.301474868773152,-22.712594120775673,-23.045503736165166,-23.220648471084484,-20.76381922010622,-22.972218503854023,-22.418691007426073,-22.993410353865407,-23.05739241325842,sub-017_ses-01_task-szMonitoring_run-01_seizure-0000,17,awake,256.0,0.3030936868149641
-20.870171720007797,-24.023627360406557,-23.78250244533114,-25.188536647010423,-25.13470849151443,-21.31479156967007,-23.830677047067077,-23.5830496092017,-25.203678381982606,-25.113515727522184,sub-039_ses-01_task-szMonitoring_run-06_seizure-0016,39,asleep,256.0,0.11066307195902948
-21.161298091793732,-23.4425977382545,-23.290398353546266,-24.085455335177056,-24.89099284731777,-21.153829331353585,-23.527192935008134,-23.476416021235636,-24.138268698033805,-24.823555705065903,sub-023_ses-01_task-szMonitoring_run-03_seizure-0001,23,awake,256.0,0.23006190763477918
-19.757705999426527,-21.96516664635337,-21.72177324279722,-24.961535460838768,-24.692645397444693,-19.978776751212273,-22.795099950601223,-22.522650528803233,-25.472567193436813,-24.780449908639422,sub-035_ses-01_task-szMonitoring_run-11_seizure-0000,35,asleep,256.0,0.20820466321124007
-20.23753399139914,-22.90291357954664,-22.58470400934501,-23.156072412693078,-23.79396742978499,-19.94340045881128,-22.185191881461428,-21.86844969917097,-22.523873009800578,-23.24040538739373,sub-101_ses-01_task-szMonitoring_run-01_seizure-0000,101,awake,256.0,0.1985672850426052
-20.799670965085596,-23.980786771374376,-23.720981190932598,-24.395881586946572,-24.999222174734918,-20.68681783636878,-24.112805121042676,-23.8203602257576,-24.52360466361856,-25.373403116220324,sub-001_ses-01_task-szMonitoring_run-07_seizure-0000,1,awake,256.0,0.12113572198628163
-21.611495580894296,-25.06811123022279,-24.848313017425305,-25.4188075245416,-26.07866825094434,-21.248347847459485,-24.915364749044357,-24.643361818534963,-25.229857617189403,-25.916279112602474,sub-053_ses-01_task-szMonitoring_run-03_seizure-0000,53,awake,256.0,0.09462324953402768
-21.017691107047384,-26.644290527008494,-26.50202342428321,-26.84701541322693,-27.051454268455306,-20.206607618511555,-26.57725968534737,-26.439927359302764,-26.82521204564665,-27.08997004015586,sub-028_ses-01_task-szMonitoring_run-04_seizure-0001,28,asleep,256.0,0.012919527985288936
-21.552530946426263,-24.04107688157304,-23.699509537420326,-24.326999562780827,-25.150970282968004,-21.433014403261527,-24.913982994836925,-24.686188175846784,-25.312505833625103,-25.93222782243231,sub-102_ses-01_task-szMonitoring_run-01_seizure-0001,102,awake,256.0,0.2245755355395485
-20.39413140585227,-26.378650861795073,-26.38006656265606,-26.873002731344418,-27.109053651549065,-21.11693367525778,-26.518714318208588,-26.584576473451094,-27.04331310765425,-27.23613393047083,sub-030_ses-01_task-szMonitoring_run-03_seizure-0001,30,asleep,256.0,0.007719454495219254
-21.00636343170412,-23.145201670985195,-22.577023123462187,-23.140501184122037,-23.86350067379128,-21.166509494120177,-23.484958226564352,-22.993798891360232,-23.634815019553265,-24.635842644602647,sub-005_ses-01_task-szMonitoring_run-22_seizure-0000,5,awake,256.0,0.3339900738949513
-21.3288705670208,-24.418223630712504,-24.235687490004427,-24.90530411598194,-25.70030772506783,-21.238945673437595,-24.050826165174172,-23.792185190486354,-24.5159533120218,-25.421067837001445,sub-049_ses-01_task-szMonitoring_run-02_seizure-0000,49,awake,256.0,0.12341383987392628
-20.611588030617092,-23.412784406447166,-23.252276598855502,-24.00971027958861,-24.801228534522252,-21.025878265059617,-24.46262665547747,-24.194276893943186,-24.903393367286892,-25.560551231662124,sub-012_ses-01_task-szMonitoring_run-03_seizure-0001,12,awake,256.0,0.15299977468867304
-20.34851052080836,-24.396245499916134,-24.414420312755873,-25.191140849974516,-26.014565656808376,-20.48487454446005,-26.38397096269098,-26.231640403009518,-26.615016798406927,-26.98722604703983,sub-060_ses-01_task-szMonitoring_run-02_seizure-0007,60,awake,256.0,0.04393778903891227
-19.99629480373516,-22.04022984990209,-21.79027498320874,-24.80921333132543,-24.23892259518294,-19.960957736624536,-21.99185476866553,-21.765767275119373,-24.885432155142475,-24.354797116361826,sub-027_ses-01_task-szMonitoring_run-07_seizure-0000,27,asleep,256.0,0.2414524408610644
-20.522180595278463,-23.196197014965982,-22.994108006311127,-23.883185032680935,-24.837693566039306,-21.762318816820727,-24.390731357661394,-24.16833139945166,-24.885502676486546,-25.625676505491278,sub-113_ses-01_task-szMonitoring_run-05_seizure-0000,113,awake,256.0,0.16767704086258806
-20.159385226888308,-22.600929617523803,-22.113207065719173,-22.696689253408962,-23.61488129974271,-20.62640638637106,-23.729979740692947,-23.68082632399497,-24.352953135410985,-24.869375245409685,sub-101_ses-01_task-szMonitoring_run-06_seizure-0001,101,awake,256.0,0.25340186658736047
-22.958245225573584,-25.88441553261515,-25.59423199114384,-26.066846564529918,-26.629763869649963,-22.50865411911066,-25.149181405229484,-24.880715981695786,-25.58140310117586,-26.31471057352592,sub-079_ses-01_task-szMonitoring_run-16_seizure-0000,79,awake,256.0,0.1634258825566628
-21.51209968780054,-23.537125976861937,-23.13129484663139,-23.75444292054484,-24.567597268559265,-20.833093489289773,-22.60889877154051,-22.219034703282443,-22.953529249067653,-23.71489295509336,sub-034_ses-01_task-szMonitoring_run-01_seizure-0000,34,awake,256.0,0.3258534672484386
-20.420363761397304,-22.778332826492058,-22.324249353866442,-23.0189442179907,-23.830013089036974,-20.419066010215133,-22.93650695352472,-22.546817706905724,-23.177041702642697,-24.168619216860712,sub-011_ses-01_task-szMonitoring_run-03_seizure-0000,11,awake,256.0,0.2598254326136372
-20.724198535294352,-24.058426684566157,-23.94605703106407,-24.59334642107229,-25.27142133244115,-20.425317326609637,-23.43245469496461,-22.947262885850286,-23.32383495680862,-24.130347950994658,sub-019_ses-01_task-szMonitoring_run-07_seizure-0000,19,awake,256.0,0.09665412434201276
-18.949885446823913,-22.559701693319,-22.541991561912305,-23.413499722505023,-24.247918587993624,-19.012429805301668,-22.666103460284127,-22.662721614807708,-23.428310158310495,-24.20049135668414,sub-052_ses-01_task-szMonitoring_run-01_seizure-0000,52,awake,256.0,0.06639705271692671
-22.018113443717965,-26.296415335693915,-26.209286316590834,-26.592765806226325,-27.0038049427853,-22.336397608128404,-26.758455736290834,-26.681462270518907,-27.072107575765866,-27.348135216951633,sub-057_ses-01_task-szMonitoring_run-06_seizure-0000,57,asleep,256.0,0.044104677189917174
-21.222070666616002,-25.099994918925603,-24.886740174024276,-25.48486331518984,-26.173298395266414,-20.989624430366078,-25.127067788907407,-24.869076305464958,-25.458904747821585,-26.162764777415283,sub-056_ses-01_task-szMonitoring_run-02_seizure-0001,56,asleep,256.0,0.06320026380767337
-21.16035092311434,-24.44484959019882,-24.20553569023828,-24.9375012786363,-25.687325759748084,-21.200198123141572,-22.927843094666468,-22.210940475983122,-22.798645973286987,-23.94199063315338,sub-077_ses-01_task-szMonitoring_run-06_seizure-0000,77,awake,256.0,0.10614368384841164
-18.50759570937676,-22.368690758470393,-22.12784224107873,-23.109958643430442,-24.028557557061934,-19.720276338704224,-23.28179670487108,-23.025397587559894,-23.763635761483513,-24.53156830995424,sub-024_ses-01_task-szMonitoring_run-07_seizure-0002,24,asleep,256.0,0.058248396098812626
-19.795599319126,-25.11723985706719,-24.711159174248536,-25.152820554826633,-25.87847525602112,-19.328074124703246,-25.713393323613424,-25.34631471282352,-25.817017384772473,-26.31832054451899,sub-060_ses-01_task-szMonitoring_run-03_seizure-0000,60,asleep,256.0,0.01884979696626119
-18.40379038174899,-21.606213765655646,-21.56234957282263,-22.44289726538755,-23.56775256874127,-18.363565168537484,-21.613341016660634,-21.561736140882363,-22.460984261252353,-23.410395178466885,sub-051_ses-01_task-szMonitoring_run-01_seizure-0002,51,awake,256.0,0.09623525970221465
-21.744960781027753,-24.970996067692646,-24.6738154344346,-25.298005507456438,-25.95341440322663,-19.674821157937856,-22.334914340101236,-22.281518554595493,-23.091474769057044,-24.19731659537949,sub-113_ses-01_task-szMonitoring_run-06_seizure-0000,113,awake,256.0,0.12024456293294047
-21.756937608876548,-24.469197880057433,-23.874425928401138,-24.448098181557015,-25.28632686915836,-21.921229402243547,-26.490268173579896,-26.342402162096736,-26.84252308925434,-27.14061148968031,sub-116_ses-01_task-szMonitoring_run-25_seizure-0000,116,awake,256.0,0.2210898322553707
-23.28264754246326,-26.25318145545896,-25.95316528423319,-26.30560445825212,-26.687613528939455,-22.061184741428058,-25.624276462123653,-25.2681816789239,-25.574809271711544,-26.343564053210365,sub-075_ses-01_task-szMonitoring_run-01_seizure-0000,75,awake,256.0,0.16830053053156332
-21.347366740275163,-24.665943643463972,-24.42674869559532,-25.03901929662894,-25.760192379274763,-21.33837376412472,-24.464615525110577,-24.21992390727563,-24.83431601226686,-25.468173657462593,sub-021_ses-01_task-szMonitoring_run-04_seizure-0000,21,awake,256.0,0.1065394815617884
-21.14180176645151,-26.512667292301973,-26.405208563752375,-26.83269044507154,-27.11427341526373,-21.73064776809865,-26.839905459852396,-26.75521463479902,-27.130473866727435,-27.29293226709963,sub-116_ses-01_task-szMonitoring_run-27_seizure-0000,116,asleep,256.0,0.01550798135738838
-20.95670244488857,-24.12411932545002,-23.986696707105576,-24.628428874598388,-25.487663695239682,-20.974114304166704,-24.076386376187383,-23.904956961505697,-24.588783998142084,-25.2652034648209,sub-114_ses-01_task-szMonitoring_run-10_seizure-0000,114,awake,256.0,0.11239793410113887
-20.882730754134798,-24.675775048377538,-24.332840132144607,-24.957867248934985,-25.419747628262922,-20.769967120841365,-24.687715888498715,-24.400083227229114,-25.00796561317371,-25.63153215624343,sub-107_ses-01_task-szMonitoring_run-01_seizure-0000,107,awake,256.0,0.07575506404311258
-23.152697436242985,-26.52370071466047,-26.329351370378156,-26.706359752565817,-26.98242706325957,-23.43778411347653,-26.54624094370685,-26.349292153312952,-26.731798521572976,-26.992000281760802,sub-071_ses-01_task-szMonitoring_run-12_seizure-0000,71,awake,256.0,0.11222797427958052
-20.580813166430936,-24.265936762005254,-23.937067510437828,-24.49311592686149,-25.01824101784645,-21.226606785434015,-24.542099410730977,-24.372057304698366,-25.03466997801397,-25.629559416366867,sub-001_ses-01_task-szMonitoring_run-08_seizure-0000,1,awake,256.0,0.08406489609547207
-19.330665547154005,-21.66058690559595,-21.347265022734906,-22.06987908672678,-23.211819359867597,-21.375956976360236,-23.796646088050863,-23.472652937846657,-23.83389519283319,-24.887090595087138,sub-025_ses-01_task-szMonitoring_run-03_seizure-0000,25,awake,256.0,0.239924567719301
-19.85385994044866,-22.19483178476917,-22.054287602727932,-23.061538860564383,-23.94257231484888,-20.622613282008786,-24.002937730296274,-23.807773515052176,-24.420448152480883,-24.953771499519643,sub-052_ses-01_task-szMonitoring_run-07_seizure-0002,52,awake,256.0,0.20898657361786585
-21.003589827910996,-23.849759915814353,-23.66512723181811,-24.37361508925471,-25.200544295559034,-20.845677250539772,-23.561618729067806,-23.242511621692472,-23.817445794394384,-24.89143123986903,sub-012_ses-01_task-szMonitoring_run-05_seizure-0000,12,awake,256.0,0.15062561893375806
-19.81283501761901,-24.184861886599663,-23.816915928786806,-24.685179704099678,-25.24716206215051,-19.647893194290354,-23.66904404127137,-23.24507838244372,-23.991456297201786,-24.65928209333447,sub-042_ses-01_task-szMonitoring_run-08_seizure-0003,42,asleep,256.0,0.04112264116911837
-19.355953636495265,-25.08131226324756,-24.96333087256824,-25.556873781012257,-26.050463495504005,-20.508033697472207,-25.421385504432052,-25.188618888580038,-25.758160525051206,-26.225144478959706,sub-022_ses-01_task-szMonitoring_run-10_seizure-0001,22,awake,256.0,0.010095168002533166
-20.537928222173683,-24.32937724699221,-23.996141842580716,-24.460071385515256,-24.997725572550898,-20.766327318228285,-24.24454933762317,-23.912897890754316,-24.336617162322067,-24.853842218055792,sub-015_ses-01_task-szMonitoring_run-08_seizure-0001,15,awake,256.0,0.07869099734383916
-21.17817857192006,-23.9908955408205,-23.71546948051281,-24.412812347509632,-25.22811614230298,-20.974290314031904,-23.616331417874747,-23.48609256710867,-24.109252447806263,-25.026823137610442,sub-004_ses-01_task-szMonitoring_run-01_seizure-0002,4,awake,256.0,0.16382371583516972
-18.595010517485314,-22.693071805354656,-22.53123949566227,-23.17226754788011,-23.74395150082545,-19.34347475686219,-23.54242092531191,-23.659688672098426,-24.632109162493386,-26.01417369167285,sub-043_ses-01_task-szMonitoring_run-08_seizure-0000,43,awake,256.0,0.0496240173468784
-21.66380694767671,-24.131867733318657,-23.7949938938051,-24.431239665861373,-25.107023180450526,-19.88451058565085,-21.536657499501246,-21.356701883506155,-22.314500362698222,-23.49564611951584,sub-114_ses-01_task-szMonitoring_run-02_seizure-0000,114,awake,256.0,0.2297205701786376
-18.93665594710025,-23.512412105783014,-23.238233485206038,-23.815672597569638,-24.585040264813774,-21.858329519047942,-24.106606485086424,-23.824167513869416,-24.507126303259533,-25.314911467346775,sub-076_ses-01_task-szMonitoring_run-16_seizure-0000,76,awake,256.0,0.03379156758766102
-19.614605583983966,-22.998027296641794,-22.722477141718034,-23.31368749280069,-23.818677476488595,-19.59136280750575,-22.68413627671352,-22.701768861015864,-23.651770964579228,-24.42072926142872,sub-106_ses-01_task-szMonitoring_run-01_seizure-0001,106,awake,256.0,0.10579197720217738
-21.263192493341236,-24.629967665552144,-24.367654132911056,-24.915445388569122,-25.43603694197619,-21.49150406480304,-24.378276152824625,-24.100591473101737,-24.73517246027621,-25.342839611863262,sub-013_ses-01_task-szMonitoring_run-01_seizure-0004,13,awake,256.0,0.10769288690275644
-20.554451736424223,-24.52442711076209,-24.20679857441124,-24.800520336270157,-25.344334420832386,-20.92261190833066,-23.422613844188533,-23.149414756644617,-23.82342471824289,-24.759298536500577,sub-103_ses-01_task-szMonitoring_run-06_seizure-0002,103,asleep,256.0,0.06317740168879815
-20.443071865527266,-24.1509229682209,-23.690100559371956,-24.4855895610802,-25.324427697963138,-20.56942975753593,-23.389935776531395,-23.054436907233367,-23.730574994486922,-24.545674492559655,sub-080_ses-01_task-szMonitoring_run-12_seizure-0000,80,awake,256.0,0.08135494221677789
-21.293472921735237,-23.556547642095666,-22.971945741167318,-23.41950912036628,-24.121155272832482,-21.327380699939127,-23.26482504253741,-22.84760581007813,-23.378348615790525,-24.116040656004266,sub-010_ses-01_task-szMonitoring_run-08_seizure-0000,10,awake,256.0,0.31933338632473235
-21.456991206429144,-24.623611003263182,-24.38638934789433,-25.045236564512788,-25.61132076108123,-20.444477848754488,-24.562207107032506,-24.310503256457853,-24.9532780380271,-25.54316793833376,sub-002_ses-01_task-szMonitoring_run-06_seizure-0000,2,asleep,256.0,0.1219737501094064
-18.42386899056239,-21.318866456418426,-21.10529795643199,-24.057960519163906,-23.83959702376513,-18.151674713339016,-22.967707898092442,-22.908986148660176,-24.640371562533595,-25.351040875375976,sub-047_ses-01_task-szMonitoring_run-06_seizure-0000,47,awake,256.0,0.11643952054894355
-20.773774090392457,-23.306222850897285,-23.33343461533174,-24.208200485400823,-24.759011108892313,-20.70524744417736,-23.369379645132348,-23.297430519237537,-24.069206497485784,-24.580572896667782,sub-009_ses-01_task-szMonitoring_run-09_seizure-0000,9,awake,256.0,0.1719298249940568
-20.646109723347422,-24.76573095744117,-24.440858046714315,-24.961554305601126,-25.538831045803768,-20.79033556271478,-24.033180127281035,-23.87085168954978,-24.621538971071864,-25.28556726134294,sub-021_ses-01_task-szMonitoring_run-04_seizure-0002,21,asleep,256.0,0.05624837433953216
-19.714933978772752,-22.958446270613393,-22.671302855897537,-23.34098934765129,-24.21729137080229,-19.941891837830152,-23.793035267869513,-23.489344944185653,-24.203191212488488,-24.83461474520898,sub-014_ses-01_task-szMonitoring_run-01_seizure-0001,14,awake,256.0,0.11405467671692703
-20.728121928452705,-23.14133542630143,-22.988141297877295,-23.770318380354503,-24.8949284381848,-19.954925059421097,-22.58224422040216,-22.550576183127045,-23.39480221364655,-24.402402462820888,sub-064_ses-01_task-szMonitoring_run-02_seizure-0000,64,awake,256.0,0.20452290681439714
-19.845763772493797,-23.525825430744604,-23.13920361836346,-23.92435686106248,-24.639198127264187,-21.434584335376677,-25.516109493299687,-25.146411220911403,-25.78242183370395,-26.553257683599874,sub-111_ses-01_task-szMonitoring_run-06_seizure-0001,111,awake,256.0,0.0805126732700784
-21.31976082508975,-24.666322374732424,-24.560795510896455,-25.221768648533786,-25.87602092538741,-19.85990531722414,-23.255909347276422,-22.920893593147532,-23.669899614792463,-24.77778129295659,sub-106_ses-01_task-szMonitoring_run-01_seizure-0000,106,awake,256.0,0.09504814372038804
-20.11093530864802,-23.580041677281784,-23.261057547506923,-23.808442365889533,-23.980134829087724,-19.895501286740746,-22.979738197754116,-22.84744808744081,-23.463178227891845,-23.917664926599286,sub-015_ses-01_task-szMonitoring_run-04_seizure-0001,15,awake,256.0,0.10686538712443835
-22.106900709524403,-24.748180135671234,-24.36313916963902,-24.953622890197064,-25.48878805929234,-22.33040363778895,-24.973164928786545,-24.727387008545502,-25.273153687936762,-25.791405857603642,sub-029_ses-01_task-szMonitoring_run-08_seizure-0004,29,asleep,256.0,0.21137590880162832
-19.820555387920148,-25.16086110090226,-24.87250362844835,-25.367685407145842,-25.73901824325788,-19.755749359386478,-25.014709263251326,-24.58317261658224,-25.000189967433723,-25.441794941266583,sub-022_ses-01_task-szMonitoring_run-06_seizure-0000,22,awake,256.0,0.01746864556981807
-18.55824058610632,-26.64514670418721,-26.623676986238095,-27.009896278867934,-27.299663899461198,-18.701985538853805,-26.698440458429374,-26.623803924505054,-26.961300307705233,-27.211946551330392,sub-063_ses-01_task-szMonitoring_run-04_seizure-0000,63,asleep,256.0,0.0009941372451397693
-21.3329017848597,-24.02021822799501,-23.61801857042702,-24.075218922039227,-24.98453700765932,-21.203499159016246,-23.465863832214254,-23.167316390012772,-23.900258039436913,-24.677015497588123,sub-102_ses-01_task-szMonitoring_run-03_seizure-0000,102,awake,256.0,0.2064720692899094
-21.048102700279692,-23.87274535782928,-23.603717611234607,-24.31980216918815,-25.18855289003312,-22.012975049523277,-24.82534835364625,-24.546617951273603,-25.21382302924674,-26.01445305477836,sub-119_ses-01_task-szMonitoring_run-31_seizure-0000,119,awake,256.0,0.16025091583041895
-20.952427200132934,-24.439415454277842,-24.028866875603242,-24.61567496022414,-25.184251535959,-20.62996249454546,-24.16721555938881,-23.820271242990557,-24.43230600411077,-25.126592082411776,sub-041_ses-01_task-szMonitoring_run-01_seizure-0000,41,awake,256.0,0.10465747521681883
