BTE_LEFT::log_power_delta,BTE_LEFT::log_power_theta,BTE_LEFT::log_power_alpha,BTE_LEFT::log_power_beta,BTE_LEFT::log_power_gamma,BTE_LEFT::log_total_power,BTE_LEFT::hjorth_mobility,BTE_LEFT::hjorth_complexity,BTE_LEFT::log_line_length,BTE_RIGHT::log_power_delta,BTE_RIGHT::log_power_theta,BTE_RIGHT::log_power_alpha,BTE_RIGHT::log_power_beta,BTE_RIGHT::log_power_gamma,BTE_RIGHT::log_total_power,BTE_RIGHT::hjorth_mobility,BTE_RIGHT::hjorth_complexity,BTE_RIGHT::log_line_length,CROSS_HEAD::log_power_delta,CROSS_HEAD::log_power_theta,CROSS_HEAD::log_power_alpha,CROSS_HEAD::log_power_beta,CROSS_HEAD::log_power_gamma,CROSS_HEAD::log_total_power,CROSS_HEAD::hjorth_mobility,CROSS_HEAD::hjorth_complexity,CROSS_HEAD::log_line_length,recording_id,subject,cls,chunk,avail_L,avail_R,avail_X,prob
0.823498,0.8198199,0.20305824,0.5964346,0.25738,0.71010494,0.05796811,-0.46947956,0.07499504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11460209,-0.0550189,0.53924775,0.7603915,1.2754102,0.33776355,0.10975376,-0.42375636,0.38242412,sub-001_ses-01_task-szMonitoring_run-03,1,control,410,True,False,True,0.06133047457675678
-1.4025369,-0.6959233,-0.025397778,0.0035128593,0.36884832,-0.5610018,0.21871471,-1.1068908,0.18844104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04385662,0.12754536,0.4410293,0.9763336,0.78404427,0.35625744,0.112725586,-0.5696596,0.5220046,sub-001_ses-01_task-szMonitoring_run-03,1,control,499,True,False,True,0.09569832071361695
-1.7571597,-0.34350157,-0.22420502,0.22864532,0.31338882,-0.53782797,0.2030597,-1.0956415,0.09957242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11278176,-0.03145981,-0.061834335,1.3188055,2.4818456,0.571404,0.23844743,-0.83300567,0.86222124,sub-001_ses-01_task-szMonitoring_run-03,1,control,917,True,False,True,0.06869206519407364
1.1194005,0.48532057,1.71843,1.59477,1.6527572,1.28351,-0.07712972,0.9763255,0.7335162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.020791,0.6779463,0.9390266,2.2370872,2.543542,2.2354136,-0.03172621,0.6377251,1.0511284,sub-001_ses-01_task-szMonitoring_run-03,1,control,983,True,False,True,0.25039536524409595
-0.69705963,-0.89359903,0.2577181,0.29298306,0.752769,-0.18274856,0.2618162,-1.1994472,0.41230822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.78528976,-0.10794878,-0.28356218,1.2812159,1.9371428,0.32274342,0.25384933,-0.8390844,0.81239414,sub-001_ses-01_task-szMonitoring_run-03,1,control,1091,True,False,True,0.07822320918665247
-0.7364421,0.24381113,0.11258888,-0.047602177,-0.2577362,-0.29260373,0.10132432,-0.7236763,-0.045324087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4104526,-0.00058460236,0.42028904,0.36239958,0.16943216,0.24293017,0.01029104,-0.09439993,0.17656922,sub-001_ses-01_task-szMonitoring_run-03,1,control,1520,True,False,True,0.08376242220285003
-0.16943264,-0.0877018,0.3010683,0.08277273,-0.049703598,-0.04911089,0.079411596,-0.6120672,0.0019903183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22873688,0.1173892,1.0867133,0.55578995,0.5849228,0.46921825,0.04990691,-0.36363852,0.25275612,sub-001_ses-01_task-szMonitoring_run-03,1,control,1655,True,False,True,0.06912672728593357
-1.2978296,-0.30397177,0.3888693,0.10456133,-0.031474113,-0.4418726,0.1588954,-0.98611736,0.099380255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4039998,-0.040391445,0.61942005,0.6100979,0.8024907,0.36857152,0.06817934,-0.31732178,0.32818604,sub-001_ses-01_task-szMonitoring_run-03,1,control,2138,True,False,True,0.07117457570775396
-1.3036122,-0.09316826,-0.1747508,-0.04350567,0.13193989,-0.5211549,0.090613306,-0.6374929,-0.041764975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1525836,-0.12366152,-0.13149786,0.24707317,0.27450895,-0.10858512,0.06563485,-0.38224816,0.1370089,sub-001_ses-01_task-szMonitoring_run-03,1,control,2147,True,False,True,0.07555898018268312
-0.92743206,-0.49769592,0.08410549,0.10786438,-0.27226973,-0.44177866,0.1206373,-0.8062959,-0.0153541565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6642828,-0.19407701,0.2189169,0.5341325,0.76719284,0.3371277,-0.0043643117,0.21437907,0.2894752,sub-001_ses-01_task-szMonitoring_run-03,1,control,3149,True,False,True,0.0775121768225233
0.2764988,-0.9012637,0.63315535,1.9830301,2.441241,1.1332552,0.34983397,-1.3702338,1.1063118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.527,0.3599434,1.1806066,2.241128,3.2404487,2.0035734,0.20658752,-0.66502786,1.3101082,sub-001_ses-01_task-szMonitoring_run-03,1,control,3290,True,False,True,0.10706090558161398
6.344655,4.3205857,4.381728,3.7378187,3.1826355,5.7934923,-0.18178514,3.8427653,1.210854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.109494,0.6119878,1.1918478,2.3650212,3.572268,1.9148455,0.16791558,-0.54899085,1.3295922,sub-001_ses-01_task-szMonitoring_run-03,1,control,3386,True,False,True,0.1824419926973702
-0.73950815,-0.4637184,-0.0305233,0.26944685,0.3814826,-0.2651484,0.17663357,-0.95429003,0.18865442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.636703,-0.18445921,0.21535444,0.8317547,1.4225187,0.9386933,-0.01821503,0.4755652,0.47141075,sub-001_ses-01_task-szMonitoring_run-03,1,control,3665,True,False,True,0.07459774955930532
-0.53764105,-0.08811331,0.26134396,0.25309753,0.05535364,-0.15733218,0.06376615,-0.470891,0.095133066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9487004,0.27790642,0.036494732,0.7584698,1.3331208,0.5803237,-0.089545205,1.3128326,0.4796524,sub-001_ses-01_task-szMonitoring_run-03,1,control,3754,True,False,True,0.13815645238274263
-0.8691492,-0.11638689,0.337121,0.3881173,0.49172974,-0.16261935,0.1569401,-0.908612,0.26664686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6976833,0.3612299,-0.35697794,0.91701317,1.4151912,0.9920919,0.043423384,-0.02088809,0.54466105,sub-001_ses-01_task-szMonitoring_run-03,1,control,4648,True,False,True,0.12063194877395989
-0.91376495,0.13017511,0.23982859,0.41425562,0.56906843,-0.13048387,0.17781523,-1.0222843,0.1770091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20951748,0.12682056,-0.26213312,0.9832213,1.3398771,0.32535386,0.14236978,-0.60741675,0.4860139,sub-001_ses-01_task-szMonitoring_run-03,1,control,4697,True,False,True,0.07911760020827842
-0.37867165,-0.009371281,-0.03751993,0.79890966,0.7720542,0.13340044,0.1856345,-1.012111,0.30081987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7578137,0.8174617,0.038772583,1.1543629,1.357254,1.1461755,0.066025466,-0.20201588,0.6232929,sub-001_ses-01_task-szMonitoring_run-03,1,control,4766,True,False,True,0.1419094852441692
-1.120111,-0.051669598,-0.6588774,0.42683506,0.16401005,-0.3449633,0.20971805,-1.1024908,0.26126885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48688674,-0.24775934,0.5203109,1.1061964,1.466692,0.5352614,0.0635218,-0.26685774,0.5745559,sub-001_ses-01_task-szMonitoring_run-03,1,control,4814,True,False,True,0.08081331685371179
-0.5744214,-0.39451122,0.15678549,0.00031375885,-0.3718357,-0.32709193,0.13279197,-0.84577763,-0.027495623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82140493,0.0341897,0.061982155,0.72903156,0.61625767,0.44625568,0.008860648,-0.05462861,0.20322514,sub-001_ses-01_task-szMonitoring_run-03,1,control,4932,True,False,True,0.07504768983941833
-0.7461338,-0.40975046,0.989851,0.71907806,0.73544693,0.09686518,0.20651734,-1.0894586,0.37129998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3287454,0.4739864,-0.011046886,1.2623434,1.4280772,0.9035996,0.004410416,0.14885163,0.50565624,sub-001_ses-01_task-szMonitoring_run-03,1,control,5169,True,False,True,0.11169443772818533
0.43169212,0.5080867,0.7445822,2.0462623,3.3650165,1.5668924,0.4232543,-1.4449497,1.5393333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5781455,1.9114504,0.7835276,2.3048573,3.9459016,2.2479777,0.23848486,-0.6995212,1.6428199,sub-001_ses-01_task-szMonitoring_run-03,1,control,5643,True,False,True,0.2901009443594558
-0.86734915,0.18341589,0.15455914,0.021562576,0.17865658,-0.28254557,0.1547009,-0.9340111,0.022723913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07120323,-0.754395,0.37436962,0.47156024,0.6967826,0.08286452,0.045684278,-0.24517608,0.26143718,sub-001_ses-01_task-szMonitoring_run-03,1,control,5883,True,False,True,0.04667301685327776
-0.3064804,1.0049915,0.8785596,0.4188857,0.019629002,0.26415515,0.11839208,-0.821836,0.07051015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8919871,0.0139250755,0.0738368,-0.3441081,0.22739315,0.29120564,-0.025698513,0.3170762,0.0022614002,sub-001_ses-01_task-szMonitoring_run-03,1,control,6146,True,False,True,0.06713131409443195
-0.3561592,-0.62710094,-0.5904288,0.099905014,-0.0064997673,-0.268265,0.11128253,-0.7754512,-0.038675785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2535529,-0.9689145,-0.5752268,-0.4529071,-0.07210064,-0.31033492,-0.00669232,0.07048559,-0.11724162,sub-001_ses-01_task-szMonitoring_run-03,1,control,6232,True,False,True,0.04428032434877277
-0.3327651,-0.44869137,-0.08931637,-0.29477024,-0.56947327,-0.32864857,0.05565232,-0.51202345,-0.17545724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2321086,0.25336218,0.66429424,0.19132662,-0.15106583,0.13641262,0.024172813,-0.27749002,0.04150033,sub-001_ses-01_task-szMonitoring_run-03,1,control,6432,True,False,True,0.0807365835906478
-1.4726253,-0.37523937,-0.14081907,-0.46893787,-0.33345556,-0.7923317,0.14368206,-0.9207039,-0.15378594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7644861,0.075689316,0.10352039,0.33041906,0.12812233,0.32948995,-0.015799701,-0.11977625,0.07259345,sub-001_ses-01_task-szMonitoring_run-03,1,control,6441,True,False,True,0.07273641855624155
-1.3830848,-0.36155558,0.21987247,-0.4915619,-0.6317649,-0.7304759,0.10341036,-0.711745,-0.19968557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8043957,-0.2213459,0.7706964,0.6071062,-0.0665102,0.10444522,0.040134102,-0.4572991,0.11557841,sub-001_ses-01_task-szMonitoring_run-03,1,control,6620,True,False,True,0.06266273353312946
-1.6561542,-0.64354277,-0.14829254,-0.43223143,-0.34795284,-0.88009167,0.11418486,-0.8103471,-0.17915988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45024014,-0.45890617,0.6738081,0.29776955,-0.11117935,0.0023698807,0.036948025,-0.39670944,0.05670643,sub-001_ses-01_task-szMonitoring_run-03,1,control,6637,True,False,True,0.0527190925942383
0.555243,0.24244642,0.3906088,1.2651355,1.408504,0.77507186,0.18026161,-0.97540176,0.42402196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.077252,2.034792,0.9283731,1.9004424,2.8871694,4.9188004,-0.18125875,4.425887,0.944993,sub-001_ses-01_task-szMonitoring_run-03,1,control,6772,True,False,True,0.14891279992100245
2.6297252,1.227829,0.87348795,0.5327549,0.21462917,2.1290464,-0.2074378,6.0750475,0.20732403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99915123,-0.6784539,0.0575552,0.2921734,1.0759869,0.4036255,0.027980506,0.03349328,0.51258945,sub-001_ses-01_task-szMonitoring_run-03,1,control,6836,True,False,True,0.11769561480102753
-1.1748109,-1.1467738,-0.64011145,-0.17531824,-0.5950875,-0.80908775,0.14207727,-0.8937558,-0.12897015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16899681,-0.43563652,-0.06452751,0.033679962,-0.16455507,-0.22624516,0.046106786,-0.2702676,0.006902933,sub-001_ses-01_task-szMonitoring_run-03,1,control,7096,True,False,True,0.060322957861063425
-0.26798868,-0.24808693,-0.5449815,-0.683187,-0.42710018,-0.36110377,0.039429635,-0.36641622,-0.21145344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86415625,-0.64017963,-1.602839,-0.62256575,0.21245384,-0.8792465,0.055498123,-0.2014544,-0.15818119,sub-001_ses-01_task-szMonitoring_run-03,1,control,7403,True,False,True,0.05238572079678757
-1.3349285,-0.49464083,0.2852912,-0.5770359,-0.55194426,-0.736959,0.09156254,-0.72925997,-0.24293971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24715114,-0.4361801,-0.78542614,-0.34861946,-0.46425724,-0.27127457,-0.037014246,0.4330871,-0.22778606,sub-001_ses-01_task-szMonitoring_run-03,1,control,7532,True,False,True,0.056589990930229345
0.29564595,-0.6977382,-0.8884473,-0.5829387,-0.69116783,-0.04915881,-0.007448882,0.0374794,-0.2657652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1563487,-0.6866598,-1.1723895,-0.7661505,-0.10203409,1.0698344,-0.1505422,2.7343936,-0.21934867,sub-001_ses-01_task-szMonitoring_run-03,1,control,7718,True,False,True,0.050608169998913426
-0.04256344,-0.17796707,-0.51537323,-0.3802805,-0.7485442,-0.18912578,0.03277111,-0.37872028,-0.25349593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1320648,-1.0040836,-1.1503983,-0.5877743,-0.18035221,1.0441775,-0.13420735,2.3387022,-0.20734286,sub-001_ses-01_task-szMonitoring_run-03,1,control,7766,True,False,True,0.042523698086500694
-1.0417047,0.09667683,0.06029415,0.02292633,-0.113530636,-0.3944652,0.14673358,-0.8893753,0.0053167343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336864,-1.0282884,0.63404226,-0.24359274,0.03172493,0.06495476,-0.0043769777,0.16855788,-0.017506361,sub-001_ses-01_task-szMonitoring_run-03,1,control,7920,True,False,True,0.03558820484153407
-0.2739644,-0.12309885,-0.4221282,-0.16118956,0.10449505,-0.20823836,0.123687804,-0.76186645,0.04531598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10646272,-0.95577717,-0.38699675,-0.18270159,0.16410112,-0.287997,0.08522105,-0.31368482,0.028165817,sub-001_ses-01_task-szMonitoring_run-03,1,control,7924,True,False,True,0.0422383033782235
0.08337402,-0.059128284,-0.0679512,-0.46410465,-0.18824673,-0.0460639,0.071401626,-0.5179217,-0.12025285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2449422,-1.0747156,-0.7996149,-0.3806553,-0.07411194,-0.9014268,0.05513656,-0.2704742,-0.119466305,sub-001_ses-01_task-szMonitoring_run-03,1,control,7968,True,False,True,0.04033278480560591
-0.9319458,-0.29677963,-0.12304497,0.08936596,-0.4378581,-0.46338534,0.10029176,-0.7282903,-0.071242094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7237849,-1.0758753,-0.32155943,-0.082736015,-0.0042386055,-0.5636003,0.057383507,-0.3298595,0.0024926662,sub-001_ses-01_task-szMonitoring_run-03,1,control,8194,True,False,True,0.04744384813091521
-1.3942251,-0.6869583,-0.1196537,-0.30070066,-0.41447926,-0.78142166,0.11762795,-0.7620722,-0.11351895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67340803,0.8399677,0.29798245,-0.14191961,-0.33424044,0.06440759,0.0025880635,-0.09724903,-0.049999237,sub-001_ses-01_task-szMonitoring_run-03,1,control,8206,True,False,True,0.10827114672500168
-0.046227455,0.4207425,-0.05341959,-0.3559451,-0.4358287,-0.041162252,-0.02710557,0.13353562,-0.19808173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018911362,0.0902257,0.5427654,0.009956837,-0.3322482,0.079943895,0.022531778,-0.26933634,0.007196188,sub-001_ses-01_task-szMonitoring_run-03,1,control,8397,True,False,True,0.08582748889542953
1.4251146,-0.16660738,-0.5089011,-0.6449919,-0.11275625,0.92793036,-0.18982622,5.4449816,-0.12121272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8924885,-0.19929504,-0.08993292,-0.17830467,-0.082850456,-0.41664147,0.021698445,-0.21125317,-0.05530691,sub-001_ses-01_task-szMonitoring_run-03,1,control,8435,True,False,True,0.08753057277082198
-0.7954831,-0.5096526,-0.6327591,-0.06852722,0.08228111,-0.48691988,-0.013455689,0.13827324,-0.012107372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2527361,-0.07323265,-0.3736291,-0.07710457,0.016087532,-0.48451376,0.05050996,-0.27129936,-0.026571035,sub-001_ses-01_task-szMonitoring_run-03,1,control,8626,True,False,True,0.09145132507034098
0.18736601,0.08214092,-0.17133665,-0.03777504,-0.20519733,0.08508229,0.050963163,-0.3948772,-0.100602865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26677704,0.040259838,-0.44115686,-0.6593337,-0.08801079,-0.15052962,-0.022569954,0.37656188,-0.15159845,sub-001_ses-01_task-szMonitoring_run-03,1,control,8844,True,False,True,0.07009529760069551
0.19657063,-0.9247303,-0.5623317,-0.24577332,-0.16585302,-0.048609734,0.06264031,-0.47072434,-0.09857869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3816619,-0.14690018,-0.53569794,-0.51968145,-0.4034834,-0.14151907,-0.0103367865,0.15616202,-0.21551728,sub-001_ses-01_task-szMonitoring_run-03,1,control,8904,True,False,True,0.06372030734807489
-0.5550828,-0.24726439,0.123117924,-0.37092924,-0.03702736,-0.35578442,0.023450553,-0.17611575,0.0008659363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2829876,-0.50013304,-0.7605834,-0.46954203,0.12803173,-0.25557637,-0.023708403,0.34004402,-0.1819706,sub-001_ses-01_task-szMonitoring_run-03,1,control,8917,True,False,True,0.05807604956560563
